Image Index,AbsRel,SqRel,RMSE,RMSE_log,delta1,delta2,delta3
1306,0.029431438,0.002421959,0.082586591,0.013194899,0.99998007,1,1
1307,0.029148516,0.003769456,0.123562543,0.013983838,1,1,1
1313,0.024477224,0.001504213,0.055943046,0.011979255,1,1,1
1314,0.025649202,0.002152744,0.077997079,0.012408575,0.999920281,1,1
1328,0.028116508,0.002450726,0.08294094,0.01361122,0.99998007,1,1
1329,0.022917848,0.002227063,0.088295784,0.011278649,1,1,1
1330,0.02521009,0.003015696,0.11148652,0.012114238,1,1,1
1331,0.025041268,0.002101805,0.077299531,0.011947378,0.99998007,1,1
1334,0.050103568,0.019202613,0.347820411,0.023619015,0.99994021,1,1
1335,0.054019727,0.02515912,0.400368648,0.026747278,0.999701052,1,1
1336,0.028530232,0.005406715,0.175926721,0.014780658,0.999820631,1,1
1337,0.050947824,0.022424946,0.381426934,0.024978405,0.999840561,1,1
1338,0.020208997,0.002661002,0.117455549,0.010917741,0.999920281,1,1
1339,0.028475669,0.007698958,0.231593326,0.014976374,0.999760842,1,1
1346,0.023512965,0.0019836,0.066409659,0.014672648,0.999422034,1,1
1347,0.023700046,0.001459076,0.057139484,0.011411312,1,1,1
1348,0.023030154,0.001665256,0.066185333,0.011441214,0.99994021,1,1
1352,0.02494649,0.00479356,0.147890022,0.017188612,0.993183992,0.999760842,1
1353,0.026887098,0.002585695,0.08404008,0.015611749,0.999182876,1,1
1354,0.025798043,0.002417784,0.075879663,0.014256219,0.999402105,1,1
1355,0.022492226,0.001829409,0.073733895,0.010857457,1,1,1
1363,0.033609101,0.008797962,0.228667579,0.01723598,0.999083227,1,1
1364,0.018287585,0.002316709,0.104160198,0.010353265,0.999601403,1,1
1367,0.027315341,0.003535253,0.11698495,0.01377616,0.99996014,1,1
1368,0.026365163,0.004424249,0.132502662,0.016670545,0.993024554,0.999840561,0.99998007
1383,0.025165841,0.002460871,0.082294667,0.01322093,0.999800702,1,1
1384,0.03358987,0.004410826,0.116963839,0.017056559,0.999262596,1,1
1385,0.024070017,0.003045295,0.117453409,0.01244045,0.999521684,1,1
1386,0.023326651,0.004476555,0.163251232,0.013164963,0.999740912,1,1
1387,0.023824261,0.00209037,0.078026103,0.011625254,0.99994021,1,1
1388,0.027669136,0.002661963,0.091082139,0.012779325,0.999860491,1,1
1389,0.033498911,0.010604449,0.26287556,0.017795572,0.999481824,0.99998007,1
1390,0.021248438,0.001613059,0.071917829,0.009631671,1,1,1
1393,0.022100434,0.002827445,0.113388414,0.012603258,0.999740912,1,1
1394,0.021237573,0.001766604,0.076186702,0.011872793,0.999720982,1,1
1395,0.035671754,0.008040862,0.211126483,0.017347203,0.99996014,1,1
1396,0.026955954,0.004679122,0.138793479,0.015431649,0.999382175,1,1
1397,0.022801451,0.001891694,0.069455111,0.012152012,0.999760842,1,1
1398,0.027908413,0.003194724,0.088129081,0.01657078,0.99738919,0.999820631,1
1399,0.026871289,0.002677998,0.089326586,0.014388418,0.999661193,1,1
1400,0.028059939,0.002856433,0.091581203,0.015213899,0.998286033,0.99996014,1
1406,0.023801545,0.002805786,0.104166758,0.012243628,0.99996014,1,1
1407,0.032972481,0.003828233,0.106894327,0.016396275,0.99996014,1,1
1408,0.028055218,0.003477328,0.114167202,0.015607601,0.999521684,1,1
1409,0.024845331,0.003392975,0.131491567,0.011935495,1,1,1
1410,0.02586869,0.001619769,0.057446887,0.012150358,1,1,1
1411,0.021450431,0.002542606,0.100257663,0.011843391,0.999581473,1,1
1412,0.032108449,0.003045456,0.086043013,0.015853257,0.999720982,1,1
1413,0.034586909,0.003165002,0.082737827,0.016856077,0.996771365,1,1
1420,0.024381496,0.003448154,0.120056572,0.013152503,0.999282526,0.99998007,1
1421,0.009218543,0.000324932,0.026113453,0.005594994,1,1,1
1422,0.019757386,0.00123892,0.055404943,0.010102483,0.999621333,1,1
1423,0.02410418,0.002441035,0.091061616,0.012777892,0.999521684,1,1
1429,0.024927202,0.002183929,0.078120264,0.012375593,0.999920281,1,1
1430,0.021973798,0.001873409,0.06954214,0.012874026,0.999720982,1,1
1431,0.020577366,0.00234962,0.095392951,0.013044145,0.998405612,1,1
1432,0.025260754,0.004220039,0.134506684,0.015595404,0.997628348,1,1
1440,0.017938073,0.001743769,0.079882568,0.011654239,0.999182876,0.99994021,1
1441,0.022711948,0.001762804,0.072658987,0.010851251,1,1,1
1442,0.020967715,0.002090768,0.088102784,0.011790173,0.999840561,1,1
1443,0.025684001,0.002817914,0.102880638,0.012368741,1,1,1
1444,0.020390132,0.001891713,0.081151791,0.011157719,0.999481824,0.99998007,1
1445,0.027830981,0.002940115,0.096287981,0.015036253,0.999302455,1,1
1446,0.025407206,0.002159843,0.073139073,0.014782795,0.998923788,1,1
1447,0.03127753,0.003523954,0.10239217,0.018664362,0.999262596,0.999860491,1
1448,0.02304206,0.002297509,0.085577332,0.012664889,0.999760842,1,1
